# Title: Northern Hemisphere Land and Ocean Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Date,Anomaly
188304,-0.32
188305,-0.25
188306,-0.01
188307,-0.15
188308,-0.34
188309,-0.41
188310,-0.47
188311,-0.43
188312,-0.30
188401,-0.26
188402,-0.14
188403,-0.59
188404,-0.62
188405,-0.41
188406,-0.36
188407,-0.44
188408,-0.57
188409,-0.54
188410,-0.61
188411,-0.58
188412,0.06
188501,-0.61
188502,-0.36
188503,-0.34
188504,-0.56
188505,-0.41
188506,-0.36
188507,-0.26
188508,-0.27
188509,-0.40
188510,-0.40
188511,-0.42
188512,-0.04
188601,-0.44
188602,-0.49
188603,-0.69
188604,-0.39
188605,-0.36
188606,-0.33
188607,-0.13
188608,-0.37
188609,-0.41
188610,-0.44
188611,-0.48
188612,-0.08
188701,-0.92
188702,-0.48
188703,-0.41
188704,-0.33
188705,-0.31
188706,-0.23
188707,-0.31
188708,-0.41
188709,-0.16
188710,-0.54
188711,-0.31
188712,-0.47
188801,-0.08
188802,-0.41
188803,-0.38
188804,-0.34
188805,-0.18
188806,0.00
188807,0.07
188808,-0.14
188809,-0.22
188810,0.13
188811,0.01
188812,-0.02
188901,0.04
188902,0.38
188903,0.02
188904,0.05
188905,0.04
188906,-0.03
188907,-0.02
188908,-0.05
188909,-0.18
188910,-0.36
188911,-0.57
188912,-0.50
189001,-0.44
189002,-0.40
189003,-0.38
189004,-0.39
189005,-0.36
189006,-0.24
189007,-0.24
189008,-0.41
189009,-0.51
189010,-0.19
189011,-0.69
189012,-0.52
189101,-0.36
189102,-0.73
189103,-0.22
189104,-0.27
189105,-0.24
189106,-0.10
189107,-0.02
189108,-0.11
189109,-0.13
189110,-0.24
189111,-0.63
189112,-0.20
189201,-0.29
189202,-0.13
189203,-0.35
189204,-0.37
189205,-0.42
189206,-0.23
189207,-0.36
189208,-0.33
189209,-0.26
189210,-0.54
189211,-0.75
189212,-0.46
189301,-0.93
189302,-0.80
189303,-0.58
189304,-0.38
189305,-0.43
189306,-0.19
189307,-0.19
189308,-0.31
189309,-0.40
189310,-0.46
