# Title: Southern Hemisphere Land Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Date,Anomaly
188302,-0.92
188303,-0.61
188304,-0.49
188305,-0.20
188306,0.59
188307,0.09
188308,-0.53
188309,-0.51
188310,-0.39
188311,-0.51
188312,-0.63
188401,-0.60
188402,-0.55
188403,-0.62
188404,-0.20
188405,-0.46
188406,-0.19
188407,-0.57
188408,0.49
188409,-0.27
188410,-0.72
188411,-0.68
188412,-0.85
188501,-0.34
188502,-0.44
188503,-1.21
188504,-0.61
188505,0.13
188506,-1.02
188507,-0.51
188508,0.16
188509,-0.10
188510,0.01
188511,-0.25
188512,-0.04
188601,-0.12
188602,-0.44
188603,-0.46
188604,-0.04
188605,-0.36
188606,-0.42
188607,-0.44
188608,0.22
188609,-0.01
188610,-0.43
188611,-0.27
188612,-0.64
188701,-0.36
188702,-0.77
188703,-0.51
188704,-0.67
188705,-0.91
188706,-0.65
188707,-0.41
188708,0.16
188709,-0.27
188710,-0.46
188711,-0.59
188712,-0.48
188801,-0.21
188802,-0.37
188803,-0.33
188804,-0.19
188805,-0.11
188806,-0.10
188807,0.27
188808,0.23
188809,-0.24
188810,0.27
188811,0.51
188812,0.17
188901,0.05
188902,0.27
188903,0.48
188904,0.18
188905,0.49
188906,0.06
188907,-0.42
188908,-0.25
188909,0.14
188910,0.30
188911,-0.03
188912,0.16
189001,-0.46
189002,-0.54
189003,-0.43
189004,-0.69
189005,0.02
189006,-0.66
189007,-0.47
189008,-0.12
189009,-0.24
189010,-0.31
189011,-0.22
189012,-0.17
189101,-0.55
189102,-0.90
189103,-0.27
189104,-0.42
189105,0.20
189106,0.02
189107,-0.45
189108,-0.60
189109,-0.70
189110,-0.37
189111,-0.18
189112,-0.24
189201,-0.17
189202,-0.12
189203,-0.15
189204,-0.31
189205,-0.74
189206,-0.35
189207,-0.59
189208,-0.40
189209,-0.58
189210,-0.36
189211,-0.15
189212,-0.53
189301,-0.48
189302,-0.30
189303,-0.42
189304,-0.73
189305,-0.55
189306,-0.30
189307,-0.42
189308,-0.42
189309,-0.49
189310,-0.24
189311,-0.34
189312,-0.29
189401,-0.55
189402,-0.67
189403,-0.33
189404,-0.55
189405,-0.41
189406,-0.80
189407,-0.39
189408,-0.15
189409,-0.85
189410,-0.19
189411,-0.17
189412,-0.41
189501,-0.27
189502,-0.84
189503,-0.20
189504,-0.17
189505,-0.38
189506,0.00
189507,-0.09
189508,0.22
189509,-0.30
189510,-0.20
189511,-0.10
189512,0.13
189601,0.02
189602,-0.09
189603,-0.04
189604,-0.11
189605,-0.41
189606,-0.13
189607,-0.48
189608,-0.09
189609,-0.25
189610,-0.04
189611,0.04
189612,0.30
189701,-0.33
189702,-0.28
189703,-0.25
189704,0.26
189705,-0.22
189706,0.24
189707,-0.31
189708,-0.27
189709,-0.15
189710,0.28
189711,0.54
189712,0.11
189801,-0.21
189802,-0.30
189803,-0.23
189804,-0.69
189805,-0.46
189806,0.16
189807,0.06
189808,-0.05
189809,0.25
189810,-0.14
