time,msl,cycle
1993-01-05 06:22:41.870848512,-0.003870140409490313,11.0
1993-01-15 04:21:13.883877120,-0.0051219411823754295,12.0
1993-01-25 02:19:45.383002368,-0.006050595906862737,13.0
1993-02-04 00:18:16.482287872,-0.005764451613445842,14.0
1993-02-13 22:16:48.149439488,-0.003531011274968055,15.0
1993-02-23 20:15:19.914315008,-0.0003666447924428039,16.0
1993-03-05 18:13:51.115559936,0.0014634096371532348,17.0
1993-03-15 16:12:22.305324032,0.0010446309288816113,18.0
1993-03-25 13:28:47.942653952,-0.00042282527478312387,19.0
1993-04-04 14:28:58.847051520,-0.0009734040338625722,20.0
1993-04-14 10:07:56.867611904,0.00015276801373113408,21.0
1993-04-24 08:06:29.264633088,0.0019222588762515488,22.0
1993-05-04 06:05:01.114076928,0.0027254857827013743,23.0
1993-05-14 04:03:32.820661504,0.0021018348184443612,24.0
1993-05-24 02:02:04.088698880,0.0010577111309429629,25.0
1993-06-03 00:00:35.470187264,0.000778701996198918,26.0
1993-06-12 21:59:07.181404928,0.001480145264359251,27.0
1993-06-22 19:57:38.075990016,0.002571061776520849,28.0
1993-07-02 17:56:08.664158464,0.0032403805185280527,29.0
1993-07-12 15:54:38.954869504,0.0029588023760465307,30.0
1993-07-22 13:37:03.980056320,0.0019466072328465174,31.0
1993-08-01 11:09:11.946713600,0.0010188825047768814,32.0
1993-08-11 09:50:11.786092032,0.0007270675753481765,33.0
1993-08-21 07:48:43.671546368,0.0007509970483367329,34.0
1993-08-31 05:47:15.463457024,0.0003696984270066641,35.0
1993-09-10 03:45:47.595532032,-0.00040609783093357955,36.0
1993-09-20 01:44:18.749274880,-0.0007422425723845271,37.0
1993-09-29 23:42:49.806007552,-0.00015009373623383604,38.0
1993-10-09 21:41:21.275804416,0.0007415461165199476,39.0
1993-10-19 19:39:46.326663424,0.0008756394437565182,40.0
1993-10-29 17:20:31.099064064,-9.941962691734985e-05,41.0
1993-11-08 16:33:52.246164992,-0.0014908947227517085,42.0
1993-11-18 13:35:28.147938048,-0.0021129947974242746,43.0
1993-11-28 11:33:59.860051968,-0.0012363300384353251,44.0
1993-12-08 09:32:30.870787584,0.0007235226923021914,45.0
1993-12-18 07:31:02.239722496,0.0025299110262408265,46.0
1993-12-28 05:29:33.314350080,0.0031827394174215144,47.0
1994-01-07 03:28:04.218009600,0.0026870543023492645,48.0
1994-01-17 01:26:34.980603904,0.001738546452529769,49.0
1994-01-26 22:35:24.935854336,0.000879719321260527,50.0
1994-02-05 20:55:20.434629632,0.0003010640549747619,51.0
1994-02-15 19:22:08.508947968,0.00011398743363888822,52.0
1994-02-25 17:20:40.916931584,0.0004866332664707014,53.0
