time,msl
1993-01-06,-0.0007286796531432212
1993-01-13,0.0012105558116603972
1993-01-20,0.0022908253088070613
1993-01-27,0.002376964114867472
1993-02-03,0.0016151321597773528
1993-02-10,0.0005414748252658592
1993-02-17,-0.00014631058522386609
1993-02-24,-0.0001047181914865837
1993-03-03,0.00047279996025957616
1993-03-10,0.0012483835286371814
1993-03-17,0.001993034757475722
1993-03-24,0.0025912885327279457
1993-03-31,0.003027232932150334
1993-04-07,0.003328272582171731
1993-04-14,0.0035053180211887004
1993-04-21,0.003555774547584975
1993-04-28,0.0035191249255996995
1993-05-05,0.0034833271983273958
1993-05-12,0.003531693046568656
1993-05-19,0.0037100366402331424
1993-05-26,0.004009207232968059
1993-06-02,0.00435905183696731
1993-06-09,0.004628276987602245
1993-06-16,0.00466576683767805
1993-06-23,0.004418685452786718
1993-06-30,0.0040415705440740215
1993-07-07,0.003864615280741882
1993-07-14,0.004198913477750424
1993-07-21,0.0050709518386501395
1993-07-28,0.00609794624154634
1993-08-04,0.006640607572216071
1993-08-11,0.006177019271370196
1993-08-18,0.0046613504432882515
1993-08-25,0.0025857318774804433
1993-09-01,0.0006798353193516009
1993-09-08,-0.0005222268358304957
1993-09-15,-0.0009026734258803931
1993-09-22,-0.0006546660549344475
1993-09-29,-4.383584758643061e-05
1993-10-06,0.0007306591689670849
1993-10-13,0.001513257309102841
1993-10-20,0.002152559722365839
1993-10-27,0.0025368824970391085
1993-11-03,0.002663466887403411
1993-11-10,0.0026802394853802022
1993-11-17,0.002828661734663406
1993-11-24,0.0033005806370999154
1993-12-01,0.004120807064530973
1993-12-08,0.005161955173868465
1993-12-15,0.00626110454976191
1993-12-22,0.00730907942986479
1993-12-29,0.008215928897759493
1994-01-05,0.008799313980279617
1994-01-12,0.008785897384418487
1994-01-19,0.007974622717469924
1994-01-26,0.006429828074414485
1994-02-02,0.00454646374120907
1994-02-09,0.0028836692348927634
1994-02-16,0.0018761642387136249
1994-02-23,0.0016301010859558311
1994-03-02,0.00191223746861955
1994-03-09,0.0023529769613155303
1994-03-16,0.0027094225656391357
1994-03-23,0.002979802840330323
1994-03-30,0.003300211170834934
1994-04-06,0.0037369220933329422
1994-04-13,0.004180811605663144
1994-04-20,0.004446046316654007
1994-04-27,0.004437541119067325
1994-05-04,0.004212491135558626
1994-05-11,0.003899959164726739
1994-05-18,0.0035536335652172867
1994-05-25,0.0030851048503306444
1994-06-01,0.002374063304834334
1994-06-08,0.0014607244926014631
1994-06-15,0.0006343600539505806
1994-06-22,0.00026994549312079567
1994-06-29,0.0005125878489587511
1994-07-06,0.001130405732021448
1994-07-13,0.0016839321376872878
1994-07-20,0.0018573166766288236
1994-07-27,0.0016710730803052628
1994-08-03,0.0014013061743812123
1994-08-10,0.001297545185407433
1994-08-17,0.001371864946469837
1994-08-24,0.0014346116737802561
1994-08-31,0.0013084536880529005
1994-09-07,0.0010225349252164194
1994-09-14,0.000842775276946723
1994-09-21,0.0010849627895381832
1994-09-28,0.0018155964387478601
1994-10-05,0.0027051620738158186
1994-10-12,0.00319980280126372
1994-10-19,0.0028968222693016993
1994-10-26,0.0018498459312979963
1994-11-02,0.0005689832201800325
1994-11-09,-0.0002984048020759564
1994-11-16,-0.0003761600867504093
1994-11-23,0.0002507817413784849
1994-11-30,0.0011706828150727915
1994-12-07,0.001937779989967841
1994-12-14,0.0022923818236172252
1994-12-21,0.002215490095468376
1994-12-28,0.0018553486997823576
1995-01-04,0.0014169879963766667
1995-01-11,0.00110888296670969
1995-01-18,0.0011069926773005084
1995-01-25,0.00146023694256818
1995-02-01,0.0020009588439878316
1995-02-08,0.0023916869207196677
1995-02-15,0.002363900755862028
1995-02-22,0.0019508526679007446
1995-03-01,0.0014675398173492338
1995-03-08,0.0012531219270517785
1995-03-15,0.0014436781650148806
1995-03-22,0.0019486787981408578
1995-03-29,0.002600974464202717
1995-04-05,0.003287296339693817
1995-04-12,0.003938242815213079
1995-04-19,0.0044573151022038494
1995-04-26,0.004699426352518472
1995-05-03,0.00453369673433136
1995-05-10,0.003975446878511396
1995-05-17,0.003244846913346467
1995-05-24,0.002651615639795964
1995-05-31,0.002366136491039837
1995-06-07,0.002308224989142873
1995-06-14,0.0022644427521859717
1995-06-21,0.002093329142016738
1995-06-28,0.0017861230275230846
1995-07-05,0.0013648826959089515
1995-07-12,0.000817584437838915
1995-07-19,0.0001495456654188633
1995-07-26,-0.0005257809843716953
1995-08-02,-0.0009936873362282415
1995-08-09,-0.0010621211290336788
1995-08-16,-0.0006838297088683706
1995-08-23,-2.3126497608778884e-06
1995-08-30,0.0007157477123221345
1995-09-06,0.0012517714547816763
1995-09-13,0.001577060475474467
1995-09-20,0.0018405164836418283
1995-09-27,0.002222573201501113
1995-10-04,0.002807033461311545
1995-10-11,0.003570484349202048
1995-10-18,0.004475086361040645
1995-10-25,0.00552015585324226
1995-11-01,0.006695371827405545
1995-11-08,0.007900693453186936
1995-11-15,0.00893172371660646
1995-11-22,0.009580937550429169
1995-11-29,0.00976690909975967
1995-12-06,0.009581772831902289
1995-12-13,0.00921821304131102
1995-12-20,0.008830247311461816
1995-12-27,0.008464692912007904
1996-01-03,0.00808861444843445
1996-01-10,0.007663537724706784
1996-01-17,0.007212098145170008
1996-01-24,0.006822835763759631
1996-01-31,0.006563645141089005
1996-02-07,0.006390693060051529
1996-02-14,0.006151230372039632
1996-02-21,0.005666552307109773
1996-02-28,0.0048709463137340675
1996-03-06,0.003917318966863981
1996-03-13,0.003159066100219564
1996-03-20,0.0030019064536565415
