time,msl
1993-01-06,-0.0037200252275243657
1993-01-13,-0.004798971739340576
1993-01-20,-0.005573301536352965
1993-01-27,-0.0059643729388907645
1993-02-03,-0.005932289092239926
1993-02-10,-0.005531027358946075
1993-02-17,-0.004924540951669188
1993-02-24,-0.004310315170305511
1993-03-03,-0.0038253732001062458
1993-03-10,-0.0035471591308061518
1993-03-17,-0.003472731408674986
1993-03-24,-0.003501839934346284
1993-03-31,-0.0035031671134516697
1993-04-07,-0.0033856348855544477
1993-04-14,-0.003133052855928605
1993-04-21,-0.00278544698519821
1993-04-28,-0.0023909849736112668
1993-05-05,-0.0019838246935495966
1993-05-12,-0.001597693640591832
1993-05-19,-0.0012806428719914918
1993-05-26,-0.0010793273788592102
1993-06-02,-0.0009873215237007705
1993-06-09,-0.000908648777428289
1993-06-16,-0.0007069794333840369
1993-06-23,-0.0003138696014122972
1993-06-30,0.00018829310794633673
1993-07-07,0.00059114617589014
1993-07-14,0.0006947223539422506
1993-07-21,0.0004361969740716825
1993-07-28,-7.47579413171405e-05
1993-08-04,-0.000625019535171115
1993-08-11,-0.0010175812721874289
1993-08-18,-0.0011666272974288835
1993-08-25,-0.0011336811500123455
1993-09-01,-0.0010875878781852946
1993-09-08,-0.0011897711430930834
1993-09-15,-0.0014836545093089015
1993-09-22,-0.0018690330751742618
1993-09-29,-0.0021749988602404093
1993-10-06,-0.0022782442931301907
1993-10-13,-0.0021714037609248307
1993-10-20,-0.0019389646997366224
1993-10-27,-0.0016969791977787807
1993-11-03,-0.0015485433911832103
1993-11-10,-0.001561608403527294
1993-11-17,-0.0017502454633560793
1993-11-24,-0.002053403579999811
1993-12-01,-0.0023309939943396253
1993-12-08,-0.0024115878962313315
1993-12-15,-0.002188707842926032
1993-12-22,-0.001710687640485313
1993-12-29,-0.0011923870768156784
1994-01-05,-0.0009093077949710645
1994-01-12,-0.0010183195398557644
1994-01-19,-0.0014441834484328151
1994-01-26,-0.0019329718198173532
1994-02-02,-0.0022201725405140062
1994-02-09,-0.0021789874311910484
1994-02-16,-0.0018513881372380619
1994-02-23,-0.0013677683952452342
1994-03-02,-0.0008588479347172457
1994-03-09,-0.00042051953322275355
1994-03-16,-0.00011074014941345363
1994-03-23,4.992266681231455e-05
1994-03-30,8.2340683494872e-05
1994-04-06,4.123717506237905e-05
1994-04-13,-8.25825013502264e-06
1994-04-20,-8.225745458433423e-06
1994-04-27,6.55329470461638e-05
1994-05-04,0.0001856230319749793
1994-05-11,0.0003090862835164231
1994-05-18,0.0004263238896688986
1994-05-25,0.0005729834217366391
1994-06-01,0.0008062463924699869
1994-06-08,0.0011386851606197904
1994-06-15,0.0014818795159766561
1994-06-22,0.001681964297532675
1994-06-29,0.0016183965081592155
1994-07-06,0.001280302836378892
1994-07-13,0.0007747432057533653
1994-07-20,0.00026525873334251084
1994-07-27,-0.0001216895168036844
1994-08-03,-0.00037121094169258705
1994-08-10,-0.0005781611040878692
1994-08-17,-0.0008588056373339363
1994-08-24,-0.0012510666462392708
1994-08-31,-0.0016788936979652645
1994-09-07,-0.0019923120804642962
1994-09-14,-0.0020480302801930816
1994-09-21,-0.0017777745541002234
1994-09-28,-0.001211561046407168
1994-10-05,-0.0004607760624310321
1994-10-12,0.0003231604287234919
1994-10-19,0.0010032157776824323
1994-10-26,0.0015030338842867193
1994-11-02,0.0018127290869778588
1994-11-09,0.001947403309440166
1994-11-16,0.0019012016295562309
1994-11-23,0.0016513129984722255
1994-11-30,0.001208692963912621
1994-12-07,0.0006692947012445316
1994-12-14,0.00020823849823832768
1994-12-21,2.80985382828617e-06
1994-12-28,0.00013369016126296967
1995-01-04,0.0005371333835779302
1995-01-11,0.0010624464902866324
1995-01-18,0.0015903842987873146
1995-01-25,0.002110860310746643
1995-02-01,0.002695076385130682
1995-02-08,0.003377825598378006
1995-02-15,0.00407167493890122
1995-02-22,0.004597661061715096
1995-03-01,0.0048011569300356275
1995-03-08,0.004651305274347884
1995-03-15,0.004235718908323105
1995-03-22,0.0036640963339802136
1995-03-29,0.002988974933963773
1995-04-05,0.002215053049657285
1995-04-12,0.0013965934826941032
1995-04-19,0.0007079906330111439
1995-04-26,0.00037934658085075033
1995-05-03,0.0005586405962412534
1995-05-10,0.0012171667402998314
1995-05-17,0.0021614562898898066
1995-05-24,0.0031496056638055194
1995-05-31,0.004013692600866221
1995-06-07,0.004702623765587435
1995-06-14,0.005241090702293689
1995-06-21,0.005655255227191458
1995-06-28,0.005922666575714357
1995-07-05,0.005985487190555979
1995-07-12,0.005801909446813185
1995-07-19,0.005387182111601777
1995-07-26,0.004828516527345925
1995-08-02,0.00425629401425511
1995-08-09,0.0037951725381668543
1995-08-16,0.0035177246666953394
1995-08-23,0.003421874046915758
1995-08-30,0.003456710855020745
1995-09-06,0.0035634234533513595
1995-09-13,0.0036932515308768683
1995-09-20,0.0037929872351004385
1995-09-27,0.00380103649060402
1995-10-04,0.003676124103356663
1995-10-11,0.0034188546172368352
1995-10-18,0.0030588722473702257
1995-10-25,0.002638330936367464
1995-11-01,0.002208301164531686
1995-11-08,0.001831653066174833
1995-11-15,0.0015760989000862336
1995-11-22,0.0014837517017720872
1995-11-29,0.001538157309617122
1995-12-06,0.0016562966992811187
1995-12-13,0.0017308291747614689
1995-12-20,0.001719465569908307
1995-12-27,0.0016934179337299952
1996-01-03,0.0017954909850676458
1996-01-10,0.0021099944868107207
1996-01-17,0.002566611676503133
1996-01-24,0.0029974094621711255
1996-01-31,0.0032835282601143267
1996-02-07,0.0034547723094974832
